class_index,class_name,count,percentage,mean_red,mean_green,mean_blue,std_red,std_green,std_blue,mean_intensity
0,class_0,6997,10.0,0.09804676473140717,0.08561369776725769,0.06811519712209702,0.13858705759048462,0.11674795299768448,0.10210272669792175,0.08392521739006042
1,class_1,6997,10.0,0.11569095402956009,0.09823042899370193,0.07101297378540039,0.1468898057937622,0.12178126722574234,0.09831555187702179,0.09497811645269394
2,class_2,6997,10.0,0.12223560363054276,0.10473507642745972,0.07823879271745682,0.1574191153049469,0.13176099956035614,0.10833536088466644,0.10173649340867996
3,class_3,6997,10.0,0.09467004984617233,0.08337823301553726,0.06636709719896317,0.1483527570962906,0.12696069478988647,0.10900402814149857,0.08147179335355759
4,class_4,6997,10.0,0.09183298051357269,0.07633509486913681,0.054840054363012314,0.14684532582759857,0.11720435321331024,0.08822691440582275,0.07433603703975677
5,class_5,6997,10.0,0.07960429787635803,0.06497974693775177,0.04709137603640556,0.139875590801239,0.1099274531006813,0.08466784656047821,0.06389180570840836
6,class_6,6997,10.0,0.05383654311299324,0.04818381741642952,0.03976937383413315,0.1000799685716629,0.08498159050941467,0.08074922114610672,0.0472632460296154
7,class_7,6997,10.0,0.10034863650798798,0.09049574285745621,0.08171576261520386,0.14151862263679504,0.12367046624422073,0.12063571810722351,0.09085338562726974
8,class_8,6997,10.0,0.09216967225074768,0.0821739211678505,0.07316938042640686,0.13221818208694458,0.11374163627624512,0.11015655845403671,0.08250431716442108
9,class_9,6997,10.0,0.08739395439624786,0.07752270251512527,0.0666494145989418,0.12783931195735931,0.10933852940797806,0.10380446165800095,0.07718869298696518
