class_index,class_name,count,percentage,mean_red,mean_green,mean_blue,std_red,std_green,std_blue,mean_intensity
0,class_0,6997,10.0,0.0958719328045845,0.08373969793319702,0.06606226414442062,0.1371050477027893,0.11545167863368988,0.099739670753479,0.08189129829406738
1,class_1,6997,10.0,0.11569095402956009,0.09823042899370193,0.07101297378540039,0.1468898057937622,0.12178126722574234,0.09831555187702179,0.09497811645269394
2,class_2,6997,10.0,0.12215164303779602,0.10464416444301605,0.07801151275634766,0.15746836364269257,0.13178038597106934,0.10793720185756683,0.10160244256258011
3,class_3,6997,10.0,0.08943702280521393,0.07878322899341583,0.062047552317380905,0.14262820780277252,0.12235228717327118,0.10380358248949051,0.07675593346357346
4,class_4,6997,10.0,0.08895213156938553,0.07389194518327713,0.0523463636636734,0.1443272978067398,0.1149306446313858,0.0845942497253418,0.07173014432191849
5,class_5,6997,10.0,0.07046312838792801,0.05695363134145737,0.040665000677108765,0.122094064950943,0.09512470662593842,0.06970918923616409,0.05602725222706795
6,class_6,6997,10.0,0.04974798485636711,0.044817958027124405,0.0365891270339489,0.09442288428544998,0.08077680319547653,0.07625363022089005,0.0437183603644371
7,class_7,6997,10.0,0.09579325467348099,0.08677943050861359,0.07760847359895706,0.13772401213645935,0.1206870824098587,0.1159234568476677,0.08672705292701721
8,class_8,6997,10.0,0.08711345493793488,0.07799328118562698,0.06883123517036438,0.12768776714801788,0.11027558147907257,0.10509401559829712,0.07797931879758835
9,class_9,6997,10.0,0.0829283818602562,0.07340409606695175,0.06208983436226845,0.12205550819635391,0.10431716591119766,0.09671220928430557,0.0728074386715889
