rank,run_directory_name,run_directory_path,documentation_directory,model_name,dataset_name,robust_evaluation,evaluation_dataset_kind,training_balance,is_deep_learning,started_at,completed_at,duration_seconds,date_iso,accuracy,balanced_accuracy,macro_f1,weighted_f1,micro_f1,precision_macro,recall_macro,cohen_kappa,matthews_correlation_coefficient,log_loss,roc_auc_macro,average_precision_macro,top_3_accuracy,top_5_accuracy,total_test_samples,misclassified_count,epoch_count,early_stopped,git_commit_sha,git_branch,git_is_dirty,dataset_path,dataset_sha256,dataset_size_bytes,uv_lock_sha256
1,dino-sdss_random_over_sampling-10-05-2026-2,/home/alexmrtr/Pucpr/a-look-outside/machine-learning/runs/dino-sdss_random_over_sampling-10-05-2026-2,/home/alexmrtr/Pucpr/a-look-outside/docs/models/dino/dino-sdss_random_over_sampling-10-05-2026-2-sdss_random_over_sampling,dino,sdss_random_over_sampling,False,processed,,True,2026-05-11T01:37:54+00:00,2026-05-11T03:13:14+00:00,5720.0,2026-05-11,0.9763719512195121,0.976365790548822,0.9762666316913353,0.9762715720814632,0.9763719512195121,0.9764776397214453,0.976365790548822,0.9737466041518382,0.9737810482546124,0.11623903939549357,0.9984929060415606,0.9903746138632364,0.9992378048780488,0.9993330792682927,10496,248,25,True,1bb9897d935d47eff9c433d219f3fb7b0e2a10be,main,True,/home/alexmrtr/Pucpr/a-look-outside/dataset/processed/sdss_random_over_sampling.h5,345f1ce661236e95c8579348bd8321a897c852e4579a97355782165a87a270a9,413455875,43f75dae44a758cc74d39aa9ccc56c56c6aff10c499bec4ee6c6fe1eb3f7d21e
2,efficientnet-sdss_smote-26-05-2026,/home/alexmrtr/a-look-outside/machine-learning/runs/efficientnet-sdss_smote-26-05-2026,/home/alexmrtr/a-look-outside/docs/models/efficientnet/efficientnet-sdss_smote-26-05-2026-sdss_smote,efficientnet,sdss_smote,False,processed,,True,2026-05-26T12:51:35+00:00,2026-05-26T13:39:25+00:00,2870.0,2026-05-26,0.9720846036585366,0.9720781696854148,0.9719935661545037,0.972000411070458,0.9720846036585366,0.9720139113246695,0.9720781696854148,0.9689828950186204,0.9689951700830641,0.12292485344768789,0.9986527062339198,0.9906779474133893,0.9991425304878049,1.0,10496,293,23,True,6d2339f38278cfb2125fa7c07bfebd4f6b3cacf6,main,True,/home/alexmrtr/a-look-outside/dataset/processed/sdss_smote.h5,84041ecb5fa77348f3bae25d84d99e8a83fd6500a719bbcfac9e78e3126956bd,604508442,43f75dae44a758cc74d39aa9ccc56c56c6aff10c499bec4ee6c6fe1eb3f7d21e
3,resnet50-sdss_smote-26-05-2026,/home/alexmrtr/a-look-outside/machine-learning/runs/resnet50-sdss_smote-26-05-2026,/home/alexmrtr/a-look-outside/docs/models/resnet50/resnet50-sdss_smote-26-05-2026-sdss_smote,resnet50,sdss_smote,False,processed,,True,2026-05-26T13:39:25+00:00,2026-05-26T14:40:59+00:00,3694.0,2026-05-26,0.9710365853658537,0.9710282809024469,0.9708399459084859,0.9708462834331366,0.9710365853658537,0.971031553395377,0.9710282809024469,0.9678184121501938,0.9678613058070916,0.12009512519567163,0.9985198458162706,0.9903158501330559,0.999047256097561,0.9997141768292683,10496,304,18,True,6d2339f38278cfb2125fa7c07bfebd4f6b3cacf6,main,True,/home/alexmrtr/a-look-outside/dataset/processed/sdss_smote.h5,84041ecb5fa77348f3bae25d84d99e8a83fd6500a719bbcfac9e78e3126956bd,604508442,43f75dae44a758cc74d39aa9ccc56c56c6aff10c499bec4ee6c6fe1eb3f7d21e
4,dino-sdss_smote-31-05-2026,/home/alexmrtr/a-look-outside/machine-learning/runs/dino-sdss_smote-31-05-2026,/home/alexmrtr/a-look-outside/docs/models/dino/dino-sdss_smote-31-05-2026-sdss_smote,dino,sdss_smote,False,processed,"{'enabled': True, 'applied': False, 'methods': [], 'apply_to': 'train_only', 'train_distribution_before': {'0': 4898, '1': 4898, '2': 4898, '3': 4898, '4': 4898, '5': 4898, '6': 4897, '7': 4898, '8': 4898, '9': 4898}, 'train_distribution_after': {'0': 4898, '1': 4898, '2': 4898, '3': 4898, '4': 4898, '5': 4898, '6': 4897, '7': 4898, '8': 4898, '9': 4898}, 'validation_distribution': {'0': 1050, '1': 1050, '2': 1049, '3': 1049, '4': 1049, '5': 1050, '6': 1050, '7': 1049, '8': 1050, '9': 1049}, 'test_distribution': {'0': 1049, '1': 1049, '2': 1050, '3': 1050, '4': 1050, '5': 1049, '6': 1050, '7': 1050, '8': 1049, '9': 1050}}",True,2026-05-31T19:59:45+00:00,2026-05-31T21:28:51+00:00,5346.0,2026-05-31,0.9642721036585366,0.9642635616687094,0.9640397278191642,0.9640472097160598,0.9642721036585366,0.9639239426386121,0.9642635616687094,0.9603023260275156,0.9603146654793021,0.18144019998250482,0.9934600063904938,0.9689975758007691,0.9935213414634146,0.9961890243902439,10496,375,23,True,6d2339f38278cfb2125fa7c07bfebd4f6b3cacf6,main,True,/home/alexmrtr/a-look-outside/dataset/processed/sdss_smote.h5,84041ecb5fa77348f3bae25d84d99e8a83fd6500a719bbcfac9e78e3126956bd,604508442,43f75dae44a758cc74d39aa9ccc56c56c6aff10c499bec4ee6c6fe1eb3f7d21e
5,dino-decals_smote-26-05-2026,/home/alexmrtr/a-look-outside/machine-learning/runs/dino-decals_smote-26-05-2026,/home/alexmrtr/a-look-outside/docs/models/dino/dino-decals_smote-26-05-2026-decals_smote,dino,decals_smote,False,processed,,True,2026-05-26T15:11:34+00:00,2026-05-26T15:39:15+00:00,1661.0,2026-05-26,0.876008064516129,0.8759623947281379,0.8759222990243476,0.8759655827885588,0.876008064516129,0.8770008597694664,0.8759623947281379,0.8622310797401731,0.8623612607301088,0.4759007936912253,0.9819576816330073,0.9114792948213776,0.9730342741935484,0.9884072580645161,3968,492,20,True,6d2339f38278cfb2125fa7c07bfebd4f6b3cacf6,main,True,/home/alexmrtr/a-look-outside/dataset/processed/decals_smote.h5,bed947b6a03069da3d97f2924299b7694bef1c73a6f2a0455ac360580db36673,4010444673,43f75dae44a758cc74d39aa9ccc56c56c6aff10c499bec4ee6c6fe1eb3f7d21e
6,resnet50-decals_smote-26-05-2026,/home/alexmrtr/a-look-outside/machine-learning/runs/resnet50-decals_smote-26-05-2026,/home/alexmrtr/a-look-outside/docs/models/resnet50/resnet50-decals_smote-26-05-2026-decals_smote,resnet50,decals_smote,False,processed,,True,2026-05-26T15:49:23+00:00,2026-05-26T16:05:28+00:00,965.0,2026-05-26,0.8666834677419355,0.8666374068137292,0.8655305951009549,0.8655670579353058,0.8666834677419355,0.8665100934100465,0.8666374068137292,0.851870032585358,0.8521056047695929,0.4431780709493494,0.9860580365328382,0.9264739863614567,0.9768145161290323,0.9944556451612904,3968,529,12,True,6d2339f38278cfb2125fa7c07bfebd4f6b3cacf6,main,True,/home/alexmrtr/a-look-outside/dataset/processed/decals_smote.h5,bed947b6a03069da3d97f2924299b7694bef1c73a6f2a0455ac360580db36673,4010444673,43f75dae44a758cc74d39aa9ccc56c56c6aff10c499bec4ee6c6fe1eb3f7d21e
7,efficientnet-decals_smote-26-05-2026,/home/alexmrtr/a-look-outside/machine-learning/runs/efficientnet-decals_smote-26-05-2026,/home/alexmrtr/a-look-outside/docs/models/efficientnet/efficientnet-decals_smote-26-05-2026-decals_smote,efficientnet,decals_smote,False,processed,,True,2026-05-26T15:39:18+00:00,2026-05-26T15:49:21+00:00,603.0,2026-05-26,0.8560987903225806,0.8560453400503778,0.8543615532318608,0.8544059442636595,0.8560987903225806,0.8553397826088954,0.8560453400503778,0.8401093202051984,0.8404187863194595,0.44386266531032725,0.9851299955074462,0.9173243903512202,0.9778225806451613,0.9977318548387096,3968,571,12,True,6d2339f38278cfb2125fa7c07bfebd4f6b3cacf6,main,True,/home/alexmrtr/a-look-outside/dataset/processed/decals_smote.h5,bed947b6a03069da3d97f2924299b7694bef1c73a6f2a0455ac360580db36673,4010444673,43f75dae44a758cc74d39aa9ccc56c56c6aff10c499bec4ee6c6fe1eb3f7d21e
8,federated_dino-sdss_decals-31-05-2026,/home/alexmrtr/a-look-outside/machine-learning/runs/federated_dino-sdss_decals-31-05-2026,/home/alexmrtr/a-look-outside/docs/models/federated_dino/federated_dino-sdss_decals-31-05-2026-client_decals_raw_on_decals_raw,federated_dino,client_decals_raw_on_decals_raw,True,natural,"{'enabled': True, 'applied': True, 'methods': ['random_over_sampling'], 'apply_to': 'train_only', 'train_distribution_before': {'0': 1840, '1': 1851, '2': 1419, '3': 234, '4': 1311, '5': 996, '6': 1280}, 'train_distribution_after': {'0': 1851, '1': 1851, '2': 1851, '3': 1851, '4': 1851, '5': 1851, '6': 1851}, 'validation_distribution': {'0': 394, '1': 397, '2': 304, '3': 50, '4': 281, '5': 213, '6': 275}, 'test_distribution': {'0': 394, '1': 397, '2': 304, '3': 50, '4': 281, '5': 214, '6': 274}}",True,2026-05-31T23:41:13+00:00,2026-05-31T23:52:49+00:00,696.0,2026-05-31,0.8213166144200627,0.829911641310305,0.6953300618424219,0.8296383641993078,0.8213166144200627,0.6988163870398758,0.7261726861465169,0.7881372142542963,0.7927298208643739,0.7631859098906482,,0.8750678009194488,0.9555903866248694,0.9984326018808778,1914,342,0,False,6d2339f38278cfb2125fa7c07bfebd4f6b3cacf6,main,True,/home/alexmrtr/a-look-outside/dataset/raw/decals.h5,19aefc477c41bb7f77ff07599a6b82a038dc042f889a111b0d4d98bb755c1571,2735267419,43f75dae44a758cc74d39aa9ccc56c56c6aff10c499bec4ee6c6fe1eb3f7d21e
9,federated_dino-sdss_decals-31-05-2026,/home/alexmrtr/a-look-outside/machine-learning/runs/federated_dino-sdss_decals-31-05-2026,/home/alexmrtr/a-look-outside/docs/models/federated_dino/federated_dino-sdss_decals-31-05-2026-global_on_sdss_raw,federated_dino,global_on_sdss_raw,True,natural,"{'enabled': True, 'applied': True, 'methods': ['random_over_sampling'], 'apply_to': 'train_only', 'train_distribution_before': {'0': 2423, '1': 4898, '2': 4404, '3': 244, '4': 1086, '5': 412, '6': 785, '7': 997}, 'train_distribution_after': {'0': 4898, '1': 4898, '2': 4898, '3': 4898, '4': 4898, '5': 4898, '6': 4898, '7': 4898}, 'validation_distribution': {'0': 519, '1': 1049, '2': 944, '3': 53, '4': 232, '5': 89, '6': 168, '7': 214}, 'test_distribution': {'0': 519, '1': 1050, '2': 944, '3': 52, '4': 233, '5': 88, '6': 168, '7': 214}}",True,2026-05-31T23:41:13+00:00,2026-05-31T23:52:26+00:00,673.0,2026-05-31,0.8476132190942472,0.8146323497084361,0.8025590795639141,0.8436806031143694,0.8476132190942472,0.8036876310040799,0.8146323497084361,0.8021050890820391,0.8044106856825755,0.4717947075477362,0.9787650072133678,0.8744617577117593,0.9920440636474909,0.9990820073439413,3268,498,0,False,6d2339f38278cfb2125fa7c07bfebd4f6b3cacf6,main,True,/home/alexmrtr/a-look-outside/dataset/raw/sdss.h5,969a6b1cefcc36e09fffa86febd2f699a4aa19b837ba0427f01b0bc6ded458af,210234548,43f75dae44a758cc74d39aa9ccc56c56c6aff10c499bec4ee6c6fe1eb3f7d21e
10,dino-decals_raw-31-05-2026,/home/alexmrtr/a-look-outside/machine-learning/runs/dino-decals_raw-31-05-2026,/home/alexmrtr/a-look-outside/docs/models/dino/dino-decals_raw-31-05-2026-decals_raw,dino,decals_raw,True,natural,"{'enabled': True, 'applied': True, 'methods': ['random_over_sampling'], 'apply_to': 'train_only', 'train_distribution_before': {'0': 757, '1': 1297, '2': 1851, '3': 1419, '4': 234, '5': 1430, '6': 1280, '7': 1840, '8': 996, '9': 1311}, 'train_distribution_after': {'0': 1851, '1': 1851, '2': 1851, '3': 1851, '4': 1851, '5': 1851, '6': 1851, '7': 1851, '8': 1851, '9': 1851}, 'validation_distribution': {'0': 162, '1': 278, '2': 397, '3': 304, '4': 50, '5': 306, '6': 274, '7': 394, '8': 214, '9': 281}, 'test_distribution': {'0': 162, '1': 278, '2': 397, '3': 304, '4': 50, '5': 307, '6': 275, '7': 394, '8': 213, '9': 281}}",True,2026-05-31T18:52:22+00:00,2026-05-31T19:15:34+00:00,1392.0,2026-05-31,0.8128523111612176,0.8048848120070751,0.7958185193865159,0.8113217898380461,0.8128523111612176,0.7927008171951673,0.8048848120070751,0.788712850544067,0.7889767047895853,0.7300787557331031,0.9552348641611343,0.8087632559890544,0.948891394212702,0.9740698985343855,2661,498,16,True,6d2339f38278cfb2125fa7c07bfebd4f6b3cacf6,main,True,/home/alexmrtr/a-look-outside/dataset/raw/decals.h5,19aefc477c41bb7f77ff07599a6b82a038dc042f889a111b0d4d98bb755c1571,2735267419,43f75dae44a758cc74d39aa9ccc56c56c6aff10c499bec4ee6c6fe1eb3f7d21e
