2026-05-01 13:34:05 | INFO     | modelos.cnn.treino | Iniciando treino CNN | params: {'seed': 42, 'epocas': 50, 'batch_size': 32, 'tamanho_imagem': 224, 'paciencia_early_stop': 10, 'scheduler_ativo': True, 'peso_decay': 0.0001, 'salvar_pesos': True, 'habilitar_xai': False, 'lr': 0.001, 'nome_modelo': 'cnn', 'dataset': 'sdss', 'versao_dataset': 'raw', 'nome_experimento': 'cnn_sdss_raw_ep50_20260501_133405'}
2026-05-01 13:34:08 | INFO     | modelos.cnn.treino | Divisão: DivisaoDados(treino=15249, val=3267, teste=3269)
2026-05-01 13:34:08 | INFO     | modelos.cnn.treino | Modelo: RedeCNNBaseline | parâmetros: 5230154
2026-05-01 13:34:08 | INFO     | modelos.cnn.treino | Dispositivo: cuda | AMP: True
2026-05-01 13:35:37 | INFO     | modelos.cnn.treino | Época   1/50 | loss 1.4787 | acc 0.4014 | val_loss 1.6046 | val_acc 0.3226
2026-05-01 13:35:37 | INFO     | modelos.cnn.treino |   ✓ Melhor modelo salvo (val_acc=0.3226)
2026-05-01 13:36:59 | INFO     | modelos.cnn.treino | Época   2/50 | loss 1.3661 | acc 0.4397 | val_loss 1.2525 | val_acc 0.4781
2026-05-01 13:36:59 | INFO     | modelos.cnn.treino |   ✓ Melhor modelo salvo (val_acc=0.4781)
2026-05-01 13:38:21 | INFO     | modelos.cnn.treino | Época   3/50 | loss 1.2493 | acc 0.4905 | val_loss 1.2877 | val_acc 0.4787
2026-05-01 13:38:22 | INFO     | modelos.cnn.treino |   ✓ Melhor modelo salvo (val_acc=0.4787)
2026-05-01 13:39:44 | INFO     | modelos.cnn.treino | Época   4/50 | loss 1.1352 | acc 0.5477 | val_loss 1.2107 | val_acc 0.5078
2026-05-01 13:39:45 | INFO     | modelos.cnn.treino |   ✓ Melhor modelo salvo (val_acc=0.5078)
2026-05-01 13:41:07 | INFO     | modelos.cnn.treino | Época   5/50 | loss 1.0454 | acc 0.5932 | val_loss 0.9899 | val_acc 0.6235
2026-05-01 13:41:07 | INFO     | modelos.cnn.treino |   ✓ Melhor modelo salvo (val_acc=0.6235)
