2026-05-01 17:14:57 | INFO     | modelos.efficientnet.treino | Stage 1: backbone congelado, treinando cabeça (LR=1.0e-03)
2026-05-01 17:15:21 | INFO     | modelos.efficientnet.treino | Época   1/50 | loss 1.7472 | acc 0.4676 | val_loss 1.3996 | val_acc 0.5451
2026-05-01 17:15:21 | INFO     | modelos.efficientnet.treino |   ✓ Melhor modelo salvo (val_acc=0.5451)
2026-05-01 17:15:37 | INFO     | modelos.efficientnet.treino | Época   2/50 | loss 1.3727 | acc 0.5280 | val_loss 1.3134 | val_acc 0.5608
2026-05-01 17:15:37 | INFO     | modelos.efficientnet.treino |   ✓ Melhor modelo salvo (val_acc=0.5608)
2026-05-01 17:15:53 | INFO     | modelos.efficientnet.treino | Época   3/50 | loss 1.1938 | acc 0.5609 | val_loss 1.1254 | val_acc 0.5834
2026-05-01 17:15:53 | INFO     | modelos.efficientnet.treino |   ✓ Melhor modelo salvo (val_acc=0.5834)
2026-05-01 17:16:10 | INFO     | modelos.efficientnet.treino | Época   4/50 | loss 1.1009 | acc 0.5815 | val_loss 1.0711 | val_acc 0.5846
2026-05-01 17:16:10 | INFO     | modelos.efficientnet.treino |   ✓ Melhor modelo salvo (val_acc=0.5846)
2026-05-01 17:16:26 | INFO     | modelos.efficientnet.treino | Época   5/50 | loss 1.0464 | acc 0.5909 | val_loss 1.0577 | val_acc 0.5834
2026-05-01 17:16:26 | INFO     | modelos.efficientnet.treino | Stage 2: backbone descongelado (backbone LR=1.0e-04, cabeça LR=1.0e-03)
2026-05-01 17:17:14 | INFO     | modelos.efficientnet.treino | Época   6/50 | loss 0.8273 | acc 0.6960 | val_loss 0.5786 | val_acc 0.7860
2026-05-01 17:17:14 | INFO     | modelos.efficientnet.treino |   ✓ Melhor modelo salvo (val_acc=0.7860)
2026-05-01 17:17:59 | INFO     | modelos.efficientnet.treino | Época   7/50 | loss 0.5702 | acc 0.7939 | val_loss 0.4934 | val_acc 0.8323
2026-05-01 17:17:59 | INFO     | modelos.efficientnet.treino |   ✓ Melhor modelo salvo (val_acc=0.8323)
2026-05-01 17:18:43 | INFO     | modelos.efficientnet.treino | Época   8/50 | loss 0.4782 | acc 0.8294 | val_loss 0.4629 | val_acc 0.8329
2026-05-01 17:18:43 | INFO     | modelos.efficientnet.treino |   ✓ Melhor modelo salvo (val_acc=0.8329)
2026-05-01 17:19:28 | INFO     | modelos.efficientnet.treino | Época   9/50 | loss 0.4136 | acc 0.8514 | val_loss 0.4523 | val_acc 0.8488
2026-05-01 17:19:28 | INFO     | modelos.efficientnet.treino |   ✓ Melhor modelo salvo (val_acc=0.8488)
2026-05-01 17:20:13 | INFO     | modelos.efficientnet.treino | Época  10/50 | loss 0.3708 | acc 0.8667 | val_loss 0.4381 | val_acc 0.8616
2026-05-01 17:20:13 | INFO     | modelos.efficientnet.treino |   ✓ Melhor modelo salvo (val_acc=0.8616)
2026-05-01 17:20:57 | INFO     | modelos.efficientnet.treino | Época  11/50 | loss 0.3348 | acc 0.8775 | val_loss 0.3910 | val_acc 0.8675
2026-05-01 17:20:57 | INFO     | modelos.efficientnet.treino |   ✓ Melhor modelo salvo (val_acc=0.8675)
2026-05-01 17:21:42 | INFO     | modelos.efficientnet.treino | Época  12/50 | loss 0.2960 | acc 0.8936 | val_loss 0.4607 | val_acc 0.8519
2026-05-01 17:22:26 | INFO     | modelos.efficientnet.treino | Época  13/50 | loss 0.2613 | acc 0.9033 | val_loss 0.4149 | val_acc 0.8684
2026-05-01 17:22:26 | INFO     | modelos.efficientnet.treino |   ✓ Melhor modelo salvo (val_acc=0.8684)
2026-05-01 17:23:11 | INFO     | modelos.efficientnet.treino | Época  14/50 | loss 0.2406 | acc 0.9119 | val_loss 0.4030 | val_acc 0.8782
2026-05-01 17:23:11 | INFO     | modelos.efficientnet.treino |   ✓ Melhor modelo salvo (val_acc=0.8782)
2026-05-01 17:23:55 | INFO     | modelos.efficientnet.treino | Época  15/50 | loss 0.2109 | acc 0.9235 | val_loss 0.4631 | val_acc 0.8681
2026-05-01 17:24:40 | INFO     | modelos.efficientnet.treino | Época  16/50 | loss 0.1916 | acc 0.9307 | val_loss 0.4778 | val_acc 0.8623
2026-05-01 17:25:24 | INFO     | modelos.efficientnet.treino | Época  17/50 | loss 0.1722 | acc 0.9391 | val_loss 0.4732 | val_acc 0.8736
2026-05-01 17:26:09 | INFO     | modelos.efficientnet.treino | Época  18/50 | loss 0.1522 | acc 0.9461 | val_loss 0.5179 | val_acc 0.8509
2026-05-01 17:26:54 | INFO     | modelos.efficientnet.treino | Época  19/50 | loss 0.1382 | acc 0.9513 | val_loss 0.5181 | val_acc 0.8512
2026-05-01 17:27:38 | INFO     | modelos.efficientnet.treino | Época  20/50 | loss 0.1312 | acc 0.9523 | val_loss 0.5582 | val_acc 0.8653
2026-05-01 17:28:23 | INFO     | modelos.efficientnet.treino | Época  21/50 | loss 0.1097 | acc 0.9624 | val_loss 0.5523 | val_acc 0.8641
2026-05-01 17:29:07 | INFO     | modelos.efficientnet.treino | Época  22/50 | loss 0.1007 | acc 0.9647 | val_loss 0.5804 | val_acc 0.8733
2026-05-01 17:29:52 | INFO     | modelos.efficientnet.treino | Época  23/50 | loss 0.0926 | acc 0.9674 | val_loss 0.6162 | val_acc 0.8721
2026-05-01 17:30:36 | INFO     | modelos.efficientnet.treino | Época  24/50 | loss 0.0841 | acc 0.9710 | val_loss 0.6531 | val_acc 0.8662
2026-05-01 17:30:36 | INFO     | modelos.efficientnet.treino | Early stopping após 10 épocas sem melhora.
2026-05-01 17:30:36 | INFO     | modelos.efficientnet.treino | Treino concluído. Épocas: 24 | Melhor val_acc: 0.8782 | Early stop: True
