2026-05-01 20:29:25 | INFO     | modelos.vit.treino | Stage 1: backbone congelado, treinando cabeça (LR=1.0e-03)
2026-05-01 20:31:50 | INFO     | modelos.vit.treino | Época   1/50 | loss 1.3643 | acc 0.4634 | val_loss 0.9811 | val_acc 0.6269
2026-05-01 20:31:51 | INFO     | modelos.vit.treino |   ✓ Melhor modelo salvo (val_acc=0.6269)
2026-05-01 20:34:11 | INFO     | modelos.vit.treino | Época   2/50 | loss 0.9343 | acc 0.6382 | val_loss 0.8102 | val_acc 0.6967
2026-05-01 20:34:11 | INFO     | modelos.vit.treino |   ✓ Melhor modelo salvo (val_acc=0.6967)
2026-05-01 20:36:31 | INFO     | modelos.vit.treino | Época   3/50 | loss 0.8100 | acc 0.6910 | val_loss 0.7604 | val_acc 0.7166
2026-05-01 20:36:32 | INFO     | modelos.vit.treino |   ✓ Melhor modelo salvo (val_acc=0.7166)
2026-05-01 20:38:52 | INFO     | modelos.vit.treino | Época   4/50 | loss 0.7378 | acc 0.7214 | val_loss 0.7173 | val_acc 0.7294
2026-05-01 20:38:52 | INFO     | modelos.vit.treino |   ✓ Melhor modelo salvo (val_acc=0.7294)
2026-05-01 20:41:12 | INFO     | modelos.vit.treino | Época   5/50 | loss 0.6986 | acc 0.7342 | val_loss 0.6951 | val_acc 0.7527
2026-05-01 20:41:13 | INFO     | modelos.vit.treino |   ✓ Melhor modelo salvo (val_acc=0.7527)
2026-05-01 20:43:33 | INFO     | modelos.vit.treino | Época   6/50 | loss 0.6681 | acc 0.7541 | val_loss 0.5996 | val_acc 0.7738
2026-05-01 20:43:33 | INFO     | modelos.vit.treino |   ✓ Melhor modelo salvo (val_acc=0.7738)
2026-05-01 20:45:53 | INFO     | modelos.vit.treino | Época   7/50 | loss 0.6554 | acc 0.7558 | val_loss 0.6300 | val_acc 0.7818
2026-05-01 20:45:54 | INFO     | modelos.vit.treino |   ✓ Melhor modelo salvo (val_acc=0.7818)
2026-05-01 20:48:14 | INFO     | modelos.vit.treino | Época   8/50 | loss 0.6274 | acc 0.7642 | val_loss 0.6584 | val_acc 0.7450
2026-05-01 20:50:34 | INFO     | modelos.vit.treino | Época   9/50 | loss 0.6101 | acc 0.7749 | val_loss 0.5812 | val_acc 0.7830
2026-05-01 20:50:34 | INFO     | modelos.vit.treino |   ✓ Melhor modelo salvo (val_acc=0.7830)
2026-05-01 20:52:54 | INFO     | modelos.vit.treino | Época  10/50 | loss 0.5941 | acc 0.7810 | val_loss 0.6479 | val_acc 0.7533
2026-05-01 20:52:54 | INFO     | modelos.vit.treino | Stage 2: backbone descongelado (backbone LR=1.0e-05, cabeça LR=1.0e-03)
2026-05-01 20:55:38 | INFO     | modelos.vit.treino | Época  11/50 | loss 0.6329 | acc 0.7654 | val_loss 0.6139 | val_acc 0.7717
2026-05-01 20:58:22 | INFO     | modelos.vit.treino | Época  12/50 | loss 0.6132 | acc 0.7732 | val_loss 0.5760 | val_acc 0.7805
2026-05-01 21:01:06 | INFO     | modelos.vit.treino | Época  13/50 | loss 0.5957 | acc 0.7774 | val_loss 0.5885 | val_acc 0.7848
2026-05-01 21:01:06 | INFO     | modelos.vit.treino |   ✓ Melhor modelo salvo (val_acc=0.7848)
2026-05-01 21:03:50 | INFO     | modelos.vit.treino | Época  14/50 | loss 0.5563 | acc 0.7960 | val_loss 0.5731 | val_acc 0.7845
2026-05-01 21:06:34 | INFO     | modelos.vit.treino | Época  15/50 | loss 0.5635 | acc 0.7922 | val_loss 0.5585 | val_acc 0.8050
2026-05-01 21:06:34 | INFO     | modelos.vit.treino |   ✓ Melhor modelo salvo (val_acc=0.8050)
2026-05-01 21:09:18 | INFO     | modelos.vit.treino | Época  16/50 | loss 0.5410 | acc 0.7987 | val_loss 0.4988 | val_acc 0.8179
2026-05-01 21:09:19 | INFO     | modelos.vit.treino |   ✓ Melhor modelo salvo (val_acc=0.8179)
2026-05-01 21:12:02 | INFO     | modelos.vit.treino | Época  17/50 | loss 0.5370 | acc 0.8010 | val_loss 0.5169 | val_acc 0.8151
2026-05-01 21:14:46 | INFO     | modelos.vit.treino | Época  18/50 | loss 0.5128 | acc 0.8126 | val_loss 0.5313 | val_acc 0.8099
2026-05-01 21:17:30 | INFO     | modelos.vit.treino | Época  19/50 | loss 0.4988 | acc 0.8160 | val_loss 0.5091 | val_acc 0.8176
2026-05-01 21:20:14 | INFO     | modelos.vit.treino | Época  20/50 | loss 0.4870 | acc 0.8216 | val_loss 0.6357 | val_acc 0.7582
2026-05-01 21:22:57 | INFO     | modelos.vit.treino | Época  21/50 | loss 0.4697 | acc 0.8241 | val_loss 0.5152 | val_acc 0.8102
2026-05-01 21:25:41 | INFO     | modelos.vit.treino | Época  22/50 | loss 0.4657 | acc 0.8303 | val_loss 0.5535 | val_acc 0.8081
2026-05-01 21:28:25 | INFO     | modelos.vit.treino | Época  23/50 | loss 0.4522 | acc 0.8356 | val_loss 0.4766 | val_acc 0.8301
2026-05-01 21:28:25 | INFO     | modelos.vit.treino |   ✓ Melhor modelo salvo (val_acc=0.8301)
2026-05-01 21:31:09 | INFO     | modelos.vit.treino | Época  24/50 | loss 0.4388 | acc 0.8365 | val_loss 0.4833 | val_acc 0.8289
2026-05-01 21:33:53 | INFO     | modelos.vit.treino | Época  25/50 | loss 0.4381 | acc 0.8381 | val_loss 0.4734 | val_acc 0.8240
2026-05-01 21:36:37 | INFO     | modelos.vit.treino | Época  26/50 | loss 0.4207 | acc 0.8469 | val_loss 0.5115 | val_acc 0.8185
2026-05-01 21:39:20 | INFO     | modelos.vit.treino | Época  27/50 | loss 0.4062 | acc 0.8526 | val_loss 0.4600 | val_acc 0.8341
2026-05-01 21:39:21 | INFO     | modelos.vit.treino |   ✓ Melhor modelo salvo (val_acc=0.8341)
2026-05-01 21:42:05 | INFO     | modelos.vit.treino | Época  28/50 | loss 0.3971 | acc 0.8520 | val_loss 0.4649 | val_acc 0.8283
2026-05-01 21:44:48 | INFO     | modelos.vit.treino | Época  29/50 | loss 0.3789 | acc 0.8598 | val_loss 0.4522 | val_acc 0.8408
2026-05-01 21:44:49 | INFO     | modelos.vit.treino |   ✓ Melhor modelo salvo (val_acc=0.8408)
2026-05-01 21:47:33 | INFO     | modelos.vit.treino | Época  30/50 | loss 0.3775 | acc 0.8613 | val_loss 0.4627 | val_acc 0.8399
2026-05-01 21:50:16 | INFO     | modelos.vit.treino | Época  31/50 | loss 0.3619 | acc 0.8659 | val_loss 0.4771 | val_acc 0.8320
2026-05-01 21:53:00 | INFO     | modelos.vit.treino | Época  32/50 | loss 0.3468 | acc 0.8743 | val_loss 0.4663 | val_acc 0.8439
2026-05-01 21:53:01 | INFO     | modelos.vit.treino |   ✓ Melhor modelo salvo (val_acc=0.8439)
2026-05-01 21:55:44 | INFO     | modelos.vit.treino | Época  33/50 | loss 0.3344 | acc 0.8758 | val_loss 0.4586 | val_acc 0.8396
2026-05-01 21:58:28 | INFO     | modelos.vit.treino | Época  34/50 | loss 0.3246 | acc 0.8803 | val_loss 0.4685 | val_acc 0.8451
2026-05-01 21:58:28 | INFO     | modelos.vit.treino |   ✓ Melhor modelo salvo (val_acc=0.8451)
2026-05-01 22:01:12 | INFO     | modelos.vit.treino | Época  35/50 | loss 0.3178 | acc 0.8867 | val_loss 0.4376 | val_acc 0.8534
2026-05-01 22:01:13 | INFO     | modelos.vit.treino |   ✓ Melhor modelo salvo (val_acc=0.8534)
2026-05-01 22:03:56 | INFO     | modelos.vit.treino | Época  36/50 | loss 0.3040 | acc 0.8861 | val_loss 0.4490 | val_acc 0.8491
2026-05-01 22:06:40 | INFO     | modelos.vit.treino | Época  37/50 | loss 0.2858 | acc 0.8948 | val_loss 0.4587 | val_acc 0.8555
2026-05-01 22:06:40 | INFO     | modelos.vit.treino |   ✓ Melhor modelo salvo (val_acc=0.8555)
2026-05-01 22:09:24 | INFO     | modelos.vit.treino | Época  38/50 | loss 0.2785 | acc 0.8982 | val_loss 0.4624 | val_acc 0.8439
2026-05-01 22:12:08 | INFO     | modelos.vit.treino | Época  39/50 | loss 0.2767 | acc 0.8990 | val_loss 0.4446 | val_acc 0.8525
2026-05-01 22:14:52 | INFO     | modelos.vit.treino | Época  40/50 | loss 0.2618 | acc 0.9052 | val_loss 0.4509 | val_acc 0.8546
2026-05-01 22:17:35 | INFO     | modelos.vit.treino | Época  41/50 | loss 0.2500 | acc 0.9085 | val_loss 0.4536 | val_acc 0.8525
2026-05-01 22:20:19 | INFO     | modelos.vit.treino | Época  42/50 | loss 0.2438 | acc 0.9105 | val_loss 0.4710 | val_acc 0.8522
2026-05-01 22:23:03 | INFO     | modelos.vit.treino | Época  43/50 | loss 0.2297 | acc 0.9170 | val_loss 0.4737 | val_acc 0.8528
2026-05-01 22:25:47 | INFO     | modelos.vit.treino | Época  44/50 | loss 0.2275 | acc 0.9174 | val_loss 0.4902 | val_acc 0.8537
2026-05-01 22:28:30 | INFO     | modelos.vit.treino | Época  45/50 | loss 0.2258 | acc 0.9176 | val_loss 0.4881 | val_acc 0.8537
2026-05-01 22:31:14 | INFO     | modelos.vit.treino | Época  46/50 | loss 0.2199 | acc 0.9233 | val_loss 0.4850 | val_acc 0.8525
2026-05-01 22:33:58 | INFO     | modelos.vit.treino | Época  47/50 | loss 0.2121 | acc 0.9221 | val_loss 0.4857 | val_acc 0.8546
2026-05-01 22:33:58 | INFO     | modelos.vit.treino | Early stopping após 10 épocas sem melhora.
2026-05-01 22:33:58 | INFO     | modelos.vit.treino | Treino concluído. Épocas: 47 | Melhor val_acc: 0.8555 | Early stop: True
